User,City,Year,Month,Day,Time,Amount,Is Fraud?,Mitigation,Outcome,weight
72,Rajkot,2025,7,30,6:11,1007391.211,No,,,
181,Bidar,2025,10,8,7:14,280062.1572,No,,,
140,Dhanbad,2025,3,15,16:50,1197722.471,No,,,
114,Amravati,2025,7,19,20:19,1576457.78,Yes,,,
30,Jabalpur,2025,8,22,13:19,80788.6432,No,,,
30,Jabalpur,2025,8,22,13:19,80788.6432,No,,,
12,Bharatpur,2025,2,26,12:39,46869.7472,No,,,
165,Guwahati,2025,11,22,6:14,1209285.731,No,,,
115,Thane,2025,8,14,13:24,-624416.04,Yes,,,
135,Gandhidham,2025,5,20,13:54,397776.144,No,,,
4,Vijayawada,2025,12,28,6:44,356919.292,No,,,
185,Jamshedpur,2025,5,31,6:33,196035.8012,No,,,
159,Panchkula,2025,9,30,5:58,931844.5792,No,,,
41,Kolkata,2025,7,29,13:38,488046.6604,No,,,
35,Kadapa,2025,4,9,20:48,1586633.449,No,,,
35,Haridwar,2025,5,21,16:40,819603.8688,No,,,
58,Silchar,2025,12,10,6:30,277749.5052,No,,,
100,Surat,2025,5,23,13:12,83640.914,No,,,
83,Vadodara,2025,3,31,13:23,390144.3924,Yes,,,
56,Nanded,2025,2,28,6:47,274049.262,Yes,,,
117,Bhiwandi,2025,1,13,20:49,331017.5896,No,,,
27,Bhagalpur,2025,9,1,7:44,348285.3912,No,,,
56,Arrah,2025,9,24,6:51,305347.1524,No,,,
70,Kurnool,2025,11,11,6:44,348825.01,No,,,
87,Muzaffarnagar,2025,10,9,13:25,-508783.44,No,,,
150,Rajkot,2025,1,23,20:17,616013.4044,No,,,
38,South Dumdum,2025,7,12,6:28,983493.8072,No,,,
98,Sonipat,2025,11,2,13:26,1099666.026,Yes,,,
113,Coimbatore,2025,5,5,13:10,-1726780.16,No,,,
9,Burhanpur,2025,6,30,20:25,519961.258,No,,,
116,Salem,2025,11,19,6:04,933540.524,No,,,
33,Siliguri,2025,7,19,6:38,285535.4336,No,,,
13,Surat,2025,9,1,6:07,1130270.121,No,,,
181,Hapur,2025,9,15,9:49,1381886.658,No,,,
184,Avadi,2025,4,2,8:46,632818.6756,No,,,
154,Gandhidham,2025,11,25,9:53,573846.0496,No,,,
58,Patna,2025,12,22,10:48,957437.928,No,,,
19,Dhule,2025,11,1,20:27,1716219.049,No,,,
131,Raichur,2025,7,13,6:05,900161.2468,No,,,
84,Indore,2025,9,15,9:38,450350.4328,No,,,
24,Raurkela Industrial Township,2025,7,7,6:32,360079.9164,Yes,,,
95,Hapur,2025,5,10,13:17,288156.4392,No,,,
7,Kakinada,2025,8,31,6:13,920666.7612,No,,,
173,Vijayawada,2025,5,11,6:11,894919.2356,No,,,
50,Asansol,2025,7,27,6:28,262717.2672,No,,,
126,Dhule,2025,9,27,6:47,281603.9252,No,,,
60,Durg,2025,2,7,6:30,284147.8424,No,,,
99,Hyderabad,2025,11,5,9:27,467386.9692,No,,,
104,Ramagundam,2025,5,26,6:34,222091.6804,Yes,,,
36,Bhilwara,2025,6,15,6:15,701966.9704,No,,,
185,Gwalior,2025,5,28,6:16,727945.7612,Yes,,,
148,Karol Bagh,2025,9,17,13:28,693795.6,No,,,
179,Tumkur,2025,5,11,6:58,1219307.223,No,,,
171,Karol Bagh,2025,1,4,19:34,2415179.572,No,,,
114,Gaya,2025,7,10,7:10,883895.5944,No,,,
176,Rajkot,2025,10,8,6:01,1142912.618,No,,,
17,Ambattur,2025,12,8,6:42,1209594.084,No,,,
38,Indore,2025,3,23,6:08,310280.81,No,,,
9,Burhanpur,2025,5,30,6:18,620099.0896,No,,,
62,Karimnagar,2025,11,25,6:29,929609.0156,No,,,
74,Mysore,2025,6,18,6:58,330477.9708,No,,,
52,Bhilwara,2025,10,10,6:19,1191015.78,No,,,
158,Jamnagar,2025,8,17,9:55,875030.4284,No,,,
68,Sri Ganganagar,2025,5,21,6:49,335642.8936,Yes,,,
54,Kolkata,2025,9,22,20:24,1104908.037,No,,,
104,Rewa,2025,1,25,17:35,43863.2996,No,,,
27,Latur,2025,9,28,0:28,128198.0092,No,,,
153,Mathura,2025,9,10,6:56,237817.714,No,,,
15,Amritsar,2025,4,18,12:59,94124.9364,No,,,
188,Pimpri-Chinchwad,2025,12,1,13:01,747757.48,No,,,
147,Madurai,2025,8,3,20:43,676142.3564,No,,,
38,Sonipat,2025,5,29,13:15,-732339.8,No,,,
2,Mathura,2025,10,9,6:10,911570.33,Yes,,,
155,Mumbai,2025,12,29,6:51,326238.1088,No,,,
135,Gandhidham,2025,5,4,20:02,889214.694,No,,,
139,Patna,2025,2,11,6:00,1053104.632,No,,,
147,Madurai,2025,7,27,6:27,961986.1436,No,,,
15,Bidhannagar,2025,4,14,5:31,987194.0504,No,,,
69,Gandhidham,2025,6,24,6:01,732571.0652,No,,,
23,Khammam,2025,1,19,9:45,566368.4748,No,,,
165,Guwahati,2025,10,14,6:00,1350588.768,No,,,
